eventDate,habitat,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLatitude,verbatimLongitude,verbatimLongitude,verbatimCoordinateSystem,verbatimCoordinateSystem,verbatimSRS,footprintWKT,georeferencedBy,georeferencedDate,georeferenceSources,georeference_verification_status,georeferenceRemarks,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,taxonConceptID,scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,namePublishedIn,name_published_in_year,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,taxonomicStatus,nomenclaturalStatus,taxonRemarks,species,verbatimIdentificationQualifier,provenance,recordID,dcterms:accessRights,verbatimContinent,verbatimBasisOfRecord
1980-06-16,,Spain,,,,,Hernani. Hernani ; Hogar del jubilado,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,4550cbb9-1451-4510-884d-56438136cc63,,,PreservedSpecimen
1993-06-15,Cultivado en Jardín,Spain,ES,,,,"Jardín Botánico de Córdoba, AB 4-23",,,,37.87,-4.77,EPSG:4326,707.0,,30SUG4393,37.87,,-4.77,,,,,,,,,,,,Not provided,,P. Yuste,,,Proyecto Fin de Carrera,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,435e00df-6f0e-4f67-9a0e-8cc0e217320b,,,PreservedSpecimen
1982-06-12,,Spain,ES,,,València (Horta),"Jardí Botànic de València C-13, 1",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,40e04569-2a65-4b67-be59-23ca3a6f19be,,,PreservedSpecimen
1991-06-06,,Spain,ES,,,,"Córdoba, casco urbano, Jardines de la Agricultura",,,,37.87,-4.79,EPSG:4326,707.0,,30SUG4293,37.87,37.840000152588,-4.79,-4.8200001716614,,,,,,,,,,,Not provided,,M.R. Chanfreut,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,3a7938b3-19f0-4f9c-9c1f-c5f7ecab2e84,,,PreservedSpecimen
2005-06-17,cultivada en el jardín,Spain,ES,,,València (Horta),"València (L´Horta), Jardín Botánico, C-15, 1235-CA",12.0,12.0,,39.47,-0.39,EPSG:4326,707.0,,30SYJ2472,39.47,,-0.39,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,166d0c98-0c6a-4a5f-adb8-705e4ea6d36a,,,PreservedSpecimen
1986-06-06,,France,fr,,,,Montpeller,,,,43.6,3.88,EPSG:4326,7338.0,,,43.60,,3.88,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,0f726aae-2016-4157-9472-4ce0cb7b2de2,,,PreservedSpecimen
1993-10-22,,Spain,ES,,,,Santiago de Compostela. Campus Universitario,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,C.R.Dacal,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,fa300993-ce65-4417-b02f-036d91617584,,,PRESERVEDSPECIMEN
1993-10-22,,Spain,ES,,,,Campus Universitario. Santiago,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,f6112591-9a94-47b0-9c90-fe09d1b6dc86,,,PreservedSpecimen
1967-10-17,,Spain,ES,,,,"Madrid, Jardín Botánico",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,a8414873-41b2-4f16-8c62-ceec8e34253e,,,PreservedSpecimen
1984-10-09,,Spain,ES,,,,"Córdoba, Jardín Botánico de Córdoba",,,,37.87,-4.77,EPSG:4326,707.0,,30SUG4393,37.87,37.840000152588,-4.77,-4.8200001716614,,,,,,,,,,,Not provided,,M. Gallardo y P. Prados,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,9b661ba2-3a31-4e61-9a5e-0b478f7c82ce,,,PreservedSpecimen
2017-10-01,,Spain,ES,Madrid,,,Spain - Villa de Madrid,,,,40.399673,-3.709101,EPSG:4326,10.0,,,40.399673,,-3.709101,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,7f9bd111-1238-4c7d-8a2c-4212ca4f7060,,,HumanObservation
1993-10-22,,Spain,ES,,,,"Santiago, Campus Universitario",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,C. R. Dacal,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,7665e985-373e-4073-bfaa-ebcc2f293f27,,,PreservedSpecimen
1967-10-17,,Spain,ESP,,,,Madrid: Jardín Botánico,,,,,,,,,,,,,,,,,,,,,,,b9640d75-20fe-11e3-9e2e-000c29035824,Not provided,,A. Monasterio,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,247c0bf6-9d87-424b-8953-8abc9991b823,,,PreservedSpecimen
2000-10-26,,United States,US,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,F.M. Vázquez,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,1dc54755-c180-4b79-a0ac-4dfe2b51afd4,,Norteamérica,PreservedSpecimen
2007-10-10,,Spain,ES,,,,Spain - Pamplona,,,,42.820599,-1.656291,EPSG:4326,1000.0,,,42.820599,,-1.656291,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,10ff4f42-0608-4daa-8376-4d834ced8655,,,HumanObservation
2016-11-27,,Spain,ES,,,,Spain - Pamplona,,,,42.805141,-1.671816,EPSG:4326,1000.0,,,42.805141,,-1.671816,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,eac2143b-884c-49b1-88ac-6c3c78f87b03,,,HumanObservation
2011-11-01,,Spain,ES,Navarra,,,Spain - Pamplona,,,,42.82073,-1.639802,EPSG:4326,10.0,,,42.82073,,-1.639802,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,e1653071-5ab0-42c6-9951-b4f08cad646f,,,HumanObservation
2015-11-15,,Spain,ES,,,,Spain - Pamplona,,,,42.821277,-1.639876,EPSG:4326,10.0,,,42.821277,,-1.639876,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,df76ac6c-731a-4bcd-9d7a-be6686094918,,,HumanObservation
2016-11-27,,Spain,ES,,,,Spain - Pamplona,,,,42.811679,-1.674492,EPSG:4326,10.0,,,42.811679,,-1.674492,,,,,,,,,,,,Not provided,,,,,,2687885,,2687885,Ginkgo biloba,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,,,species,,,,,,,Ginkgo biloba,,Published dataset,cac7b438-5338-4c9b-99a0-4dee8806563c,,,HumanObservation
1973-11-28,,Spain,,,,,"Granada, Jardín Botánico de la Universidad.",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,a1c436d8-7710-4d84-8348-518865838310,,,PreservedSpecimen
1959-11-01,,Spain,ES,,,,Parque del Oeste,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,902e3a60-9b56-445a-8b4c-df0e9abb4f09,,,PreservedSpecimen
2006-11-07,cultivado á beira dun estanque,Spain,ES,A Coruña,,,A Coruña. Santiago: Campus Universitario Sur,,,,42.8783822119,-8.55121499338,EPSG:4326,1.0,,,42.8783822119,,-8.55121499338,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,68cf30d5-bd73-4176-90f5-e846ef6e7689,,,PreservedSpecimen
1980-11-30,,Spain,,,,,Donostia-San Sebastián. Donostia ; Gurrutxaga-Enea,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,219ca7b3-cd07-47f5-b5e7-bf2332486c74,,,PreservedSpecimen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,fff0626b-634c-468e-9a9e-1ccb12c94ad7,,,LivingSpecimen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,faea01e1-8a07-46fd-9f77-9c0477d59333,,,LivingSpecimen
,,Spain,ES,,,,Jardín Botánico de Valencia,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,R. Areses,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,e782438a-3c0a-4372-99d9-4589d1a3b06e,,,PreservedSpecimen
,,United Kingdom,,,,,Kew,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,e7572b9c-d974-4dfa-be2f-ee015e34f443,,,PreservedSpecimen
,,Spain,ES,,,València (Horta),"Valencia (L´Horta), Jardín Botanico",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,d2d5dbf7-450b-4edc-891c-4d4a30115ed0,,,PreservedSpecimen
,,France,fr,,,,"Bouches-du-Rhône: Marseille, Saint-Barnabé, parc de la Rosière",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,c9bc58d9-694c-4cfa-9540-89ef5c71664b,,,PreservedSpecimen
,,Spain,ES,,,,Jardín Botánico de Madrid,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,c6c9b670-f4f5-4bbf-a19f-4e66e25e0ed3,,,PreservedSpecimen
,,Portugal,PT,,,,"Isla de San Miguel: Vale do Furnas, en los accesos a Furnas.",,,,37.8,-25.4,EPSG:4326,,,,37.8,,-25.4,,,,,,,,,,,,Not provided,,J.A. Devesa & P. G�mez,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,,,,,,Ginkgo biloba,,Published dataset,bd7bdf50-0c91-4f0e-b2fb-ed4779301a41,,,PreservedSpecimen
,,Spain,,,,,H. Hispalensis,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,b97b7a2b-e3d0-41c0-be61-9ef3a5138990,,,PreservedSpecimen
,plantat,Spain,es,Barcelona,Barcelonès,,"Barcelona, Jardins de l'Universitat",,,,41.4,2.1,EPSG:4326,,,,41.40,,2.10,,,,,,,,,,,,Not provided,,"Vigo Bonada, Josep",,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,aa6f437f-9f19-4396-848a-2c7b3bdd0c6e,,,PreservedSpecimen
,,Spain,ES,,,,J.B. de la Facultad de Farmacia (Fonseca),,,,,,,,,,,,,,,,,,,,,,,,Not provided,,R. Areses,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,88f92f0e-8e3f-4fd9-87de-c32f8bc73c85,,,PreservedSpecimen
,,Spain,ESP,,,,Campus Universitario. Santiago de Compostela,,,,,,,,,,,,,,,,,,,,,,,8204a005-ee1f-4785-8e64-1fd3e7565471,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,888be13a-c30c-4eed-ade2-a0efe0f357b3,,,PreservedSpecimen
,,Spain,ES,,,,Jardín Botánico de Fonseca (Santiago),,,,,,,,,,,,,,,,,,,,,,,,Not provided,,R. Areses,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,85266eac-2abd-455f-b17e-fd5fc573e617,,,PreservedSpecimen
,,Spain,ESP,,,,"Santiago de Compostela, Campus Universitario",,,,,,,,,,,,,,,,,,,,,,,bd631f91-20fe-11e3-9e2e-000c29035824,Not provided,,C.R.Dacal,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,740cef05-c64c-4769-bfcc-b4e5f648ffe4,,,PreservedSpecimen
,,Spain,ESP,,,,Madrid,,,,,,,,,,,,,,,,,,,,,,,45782197-febf-4899-8992-19dee50c968a,Not provided,,,2014-09-01,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,6f533d50-9d3b-424f-a275-4f54041d7bd1,,,PreservedSpecimen
,,Spain,,,,,Barcelona (exótico),1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,6449c69f-9c74-4f17-9408-b9e9dc00d627,,,PreservedSpecimen
,,Spain,ESP,,,,"Santiago de Compostela, Campus Universitario",,,,,,,,,,,,,,,,,,,,,,,8f0efaf6-2dde-40c2-ba31-a51dd230e12a,Not provided,,C.R.Dacal,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,58328406-55b0-4666-9440-50d5ed50ce5a,,,PreservedSpecimen
,,Spain,ES,,,,Badajoz: Parque de Castelar.  29SPD70,,,,38.8,-7.0,EPSG:4326,,,,38.8,,-7.0,,,,,,,,,,,,Not provided,,G. Fern�ndez,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,,,,,,Ginkgo biloba,,Published dataset,54b2e544-c48f-49b2-9a6d-e536422a39c6,,,PreservedSpecimen
,,Spain,ESP,,,,Tenerife,,,,,,,,,,,,,,,,,,,,,,,cb056f50-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,52c26cba-142c-4df5-9c53-e5393163a6f7,,,PreservedSpecimen
,,Spain,ES,,,,Málaga; Jardín del Santuario de la Victoria,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,B. Díez Garretas,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,5170b8bd-8148-41ee-bcc7-5678f8d7b3f3,,,PreservedSpecimen
,Cultivada. Originaria de China,Spain,ES,,,,"Campus de la Universidad de Navarra, Pamplona",,,,42.8,-1.65,EPSG:4326,,,,42.80,,-1.65,,WGS84,,,,,,,,,,Not provided,,L.M. García Bona,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,40aed7e1-a809-4de1-be86-f458c404e254,,,PreservedSpecimen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,38e4593e-32c0-4088-93b8-47605cc4f4bc,,,LivingSpecimen
,,Spain,,,,,"Granada, Jardín Botánico de la Facultad de Farmacia.",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,3509d657-49fc-432c-8438-ef8d619073c2,,,PreservedSpecimen
